names,scores,logfoldchanges,pvals,pvals_adj
DDAH1,27.160307,1.7183284,1.9131823773418742e-162,5.2371015306319046e-160
TXNIP,27.103973,1.7687515,8.839637724316768e-162,2.4000694426120554e-159
RPS27A,27.076035,0.7318777,1.886259337757396e-161,4.999485463789365e-159
TNC,27.070843,3.7733727,2.1713381625349184e-161,5.709764509922531e-159
ATP5E,27.046074,0.98297215,4.247935635063146e-161,1.108312956785694e-158
PRDX5,27.026468,1.18689,7.222632305005716e-161,1.869821926030782e-158
RPL15,26.879755,0.84451544,3.7880562986869016e-159,9.731225242380597e-157
BMP4,26.76653,4.922464,7.929225990893241e-158,2.021407871693669e-155
EGFR,26.60674,2.16139,5.672176808808279e-156,1.4350607326284948e-153
UQCRB,26.547436,1.1731017,2.7493574428831724e-155,6.8520553106363e-153
CNN3,26.457298,1.4956511,3.007231523987305e-154,7.277500288049278e-152
SELENOW,26.451885,1.409783,3.470980828388348e-154,8.339343578766711e-152
HLA-DPA1,26.35433,1.6101593,4.578114882286145e-153,1.0766952437241415e-150
ARHGEF2,26.341713,2.4696982,6.386543569424156e-153,1.4811458961422855e-150
CXCL14,26.341314,2.484584,6.454180632872036e-153,1.4865090787268586e-150
SFTPC,26.242495,3.3627355,8.70626630396597e-152,1.9914689690907366e-149
HLA-DRA,26.132782,1.8419485,1.5467844131291245e-150,3.4902981257338006e-148
RPL32,26.048473,0.89934,1.4000387305161315e-149,3.117046229621115e-147
HLA-DRB1,25.976402,1.7437258,9.15199474421139e-149,2.010789582090023e-146
MYO6,25.906847,1.5562611,5.575802049815348e-148,1.2170554591871462e-145
RPS19,25.823914,1.0663111,4.778671534615896e-147,1.0362890556495614e-144
RPS23,25.758537,1.0320324,2.586359665186276e-146,5.536799190933388e-144
RPS27,25.714252,1.5268396,8.098616397657738e-146,1.7226840332240626e-143
SNTB1,25.45344,2.502036,6.466735005817685e-143,1.3668549509765027e-140
GPC4,25.343231,2.4224787,1.0670983217105406e-141,2.199803429126248e-139
PID1,25.315758,3.5888944,2.1424281029761472e-141,4.389480302269412e-139
MTSS1,25.299583,3.0026057,3.2281379354155376e-141,6.5735911275083714e-139
CAMK2D,25.197414,2.0012536,4.275858982174336e-140,8.635986175187316e-138
ADAMTS1,25.17582,4.128553,7.372417110897429e-140,1.4743068373385062e-137
TIMP3,25.110842,2.2821639,3.786661363997548e-139,7.527341840003697e-137
TMEM98,25.067007,1.776665,1.139256970696537e-138,2.2512796327444704e-136
AP001324.1,24.986626,1.0424572,8.544537186414553e-138,1.6785491992794143e-135
RPS15,24.761127,1.1786193,2.352747131461627e-135,4.568159488505377e-133
TMEM159,24.724697,2.029758,5.803427167658706e-135,1.1202962641105789e-132
RPS9,24.708677,1.0811967,8.628113594473982e-135,1.6560027678221444e-132
ACSL5,24.644396,1.5354456,4.226184798407822e-134,8.065009573007293e-132
AC116533.1,24.617231,0.9983652,8.26035593249309e-134,1.5585471566188656e-131
PPP2R5A,24.60769,1.5780486,1.0450644261507087e-133,1.9607287402094983e-131
PTPN13,24.60608,3.1728883,1.087428627836222e-133,2.028813768447959e-131
IL1B,24.598381,2.3626044,1.3146032006161873e-133,2.4390271382098996e-131
FAM210B,24.517977,1.7642114,9.500904317386215e-133,1.7529955833338675e-130
EVA1A,24.408995,3.3281896,1.3726064467413245e-131,2.5186574118336965e-129
RPS28P7,24.33845,1.0250592,7.683466631043678e-131,1.4021696809307906e-128
CD47,24.32209,1.3104017,1.144736216988546e-130,2.0776962338342112e-128
RPS20,24.300953,0.6432661,1.9153521058120936e-130,3.4389838132097144e-128
IMPA2,24.253162,1.7460972,6.123088879456425e-130,1.093511637531159e-127
SLC43A3,24.20212,2.3197277,2.113321466295447e-129,3.754068281298019e-127
ETV5,24.086926,3.3180873,3.4271071193014446e-128,6.023772071378476e-126
RPL10A,24.061796,0.8078798,6.282375756310654e-128,1.0984618887840346e-125
RPL37P2,24.008415,1.2701868,2.2714039641290664e-127,3.9508232701069947e-125
CYP2B7P,23.964876,1.9367884,6.4658175828066845e-127,1.1188209533441038e-124
LRRK2,23.891876,2.6336854,3.720260970422145e-126,6.371376172729125e-124
TRIM2,23.822239,2.2923117,1.964900712523557e-125,3.314132535123066e-123
PCP4,23.809874,6.4251747,2.6391413383836936e-125,4.428983122445318e-123
FCER1G,23.781763,2.0086918,5.157973323688139e-125,8.569934184969606e-123
MSN,23.740822,1.2458469,1.366846449845695e-124,2.2486307408397453e-122
TPSB2,23.463333,1.9977462,9.663575118934342e-122,1.566625022679278e-119
SNRPN,23.342297,2.2047913,1.6502447190351986e-120,2.662394813376787e-118
ROS1,23.318424,3.248276,2.8832142831081524e-120,4.6292223172442235e-118
