names,scores,logfoldchanges,pvals,pvals_adj
MT-ND2,5.4729376,0.29040816,4.426359109312859e-08,2.370748350517573e-06
ITGA1,5.4728036,1.0610476,4.4297130516318295e-08,2.370748350517573e-06
GUCY1A3,5.437381,1.4149469,5.4069503571352705e-08,2.8347019486167895e-06
PIK3R1,5.3748546,1.5323427,7.664459300921039e-08,3.890004298078404e-06
PLAC9,5.3402367,1.8023871,9.282526330144493e-08,4.613084067284307e-06
FLNA,5.227528,0.7146999,1.7179114294778203e-07,8.069109718543077e-06
MRVI1,5.2209535,1.8499799,1.7800413925013316e-07,8.337484199715914e-06
SPINT2,5.2194777,2.3014123,1.7942845900574114e-07,8.368984381223087e-06
EPB41L2,5.2041817,0.9338646,1.948534964976028e-07,9.000452792578068e-06
IGFBP7,5.1860676,0.66900665,2.1478083754108434e-07,9.839260425956176e-06
LAMP5,5.1236753,3.5247633,2.9963661602698436e-07,1.3324453300715272e-05
C6orf48,5.1192474,0.8092016,3.067570345246544e-07,1.360485780210539e-05
COL10A1,5.081007,1.6708472,3.7543889595561256e-07,1.632572574131984e-05
PPP1R12B,5.0614176,2.0711975,4.161510657256048e-07,1.7932620633512644e-05
PPP1R14A,5.0516224,2.0118837,4.3807289788925466e-07,1.8636792990967578e-05
SLC40A1,5.0496097,1.5201603,4.4271336429647736e-07,1.8810248745604526e-05
HLA-DPB1,5.0489388,1.789095,4.4427069733756056e-07,1.8828507878534482e-05
LPP,5.031496,0.9510187,4.866673805318908e-07,2.0366846917597777e-05
EDNRA,5.0203595,1.3655733,5.15749224208642e-07,2.1396224958598522e-05
IGFBP5,4.9775567,1.2985271,6.439186278937045e-07,2.6129169498345267e-05
DDX17,4.952466,0.4918823,7.32789316413195e-07,2.9238031076385975e-05
TMEM204,4.951124,2.1883147,7.378604917448913e-07,2.940523744906013e-05
MRPS6,4.948709,1.9215461,7.470739317118302e-07,2.970152502791462e-05
MXRA8,4.9092607,0.9164209,9.142029273808282e-07,3.554216642934824e-05
TPSB2,4.8890004,1.6949687,1.013493982334106e-06,3.912906940350266e-05
TGM2,4.8770585,1.4961152,1.0767953356803558e-06,4.1334088540668e-05
SFRP4,4.8757167,1.5029285,1.0841411540471036e-06,4.154885145461717e-05
RCAN2,4.862165,1.8260636,1.1610887410082847e-06,4.401330260466819e-05
SOX4,4.860018,1.0322325,1.1737508056183157e-06,4.434228722220506e-05
SUGCT,4.8443193,2.4954998,1.270464727550447e-06,4.772602929277247e-05
S100A4,4.843246,0.9042766,1.2773504491601542e-06,4.7930781573205064e-05
FRZB,4.815471,1.6465441,1.4685286951831133e-06,5.431116755740338e-05
GADD45B,4.802993,1.0584935,1.5631146263601694e-06,5.742769643776041e-05
MT-TL1,4.7868915,1.3205725,1.6938422534091644e-06,6.159452795952352e-05
ANO1,4.7686434,2.0231912,1.854704482448287e-06,6.631660695486402e-05
CCL4L2,4.7094717,3.3749018,2.4835978353971667e-06,8.639815969887894e-05
SLC29A1,4.665193,2.2891939,3.083270863931937e-06,0.00010507032017537854
WFDC1,4.659424,2.1458259,3.170959383322241e-06,0.0001076192678510463
ADH1B,4.653788,2.87402,3.2589147697794553e-06,0.00011038003818616095
MFAP4,4.605887,1.2298039,4.1071112143322566e-06,0.00013566873008292785
G0S2,4.6014595,2.0053632,4.195411452090362e-06,0.00013790350477756863
ETV1,4.598776,1.5539173,4.249809047840991e-06,0.00013955420153559264
ALDH1A1,4.5963607,2.2581584,4.2993441914227e-06,0.00014090372778876594
ERAP2,4.580662,1.9073555,4.635066532318764e-06,0.00015101725064713896
DDX5,4.560938,0.39240578,5.092564037761186e-06,0.00016463820774934422
SERPING1,4.5575833,0.4774756,5.174552484662432e-06,0.00016696556017177446
CYBRD1,4.551143,0.77953464,5.335526853053697e-06,0.0001711673917239013
CXCL17,4.5491304,2.58967,5.386807013674164e-06,0.0001724811189153043
PLN,4.525515,2.4323747,6.024854254736462e-06,0.00019162479303921797
