names,scores,logfoldchanges,pvals,pvals_adj
MT-ATP6,35.057495,0.51489216,2.997624358563802e-269,3.3369554359532243e-265
MT-ND3,33.311386,0.46663275,2.641683506018482e-243,1.7644332473398642e-239
MT-CYB,31.827784,0.55286354,2.672162718277634e-222,1.2748506591371411e-218
TPT1,26.314535,0.39627847,1.3075823799056218e-152,3.6390017632773455e-149
SFTPB,21.7631,1.7539568,5.191773031317506e-105,6.421646376069609e-102
MT-CO3,21.67974,0.24130562,3.186619232930878e-104,3.547344530098654e-101
MT-ND4,21.274328,0.27215078,1.9630860492543757e-100,1.9282124029676216e-97
MT-ND1,20.195507,0.22802222,1.0721888168361357e-90,9.181235314630663e-88
MT-CO2,19.703938,-0.042036034,1.99485569252357e-86,1.5861952549408841e-83
MT-ND2,19.489456,0.24678977,1.3490815564055308e-84,9.840948129635246e-82
SCGB1A1,17.41722,2.9187353,6.107492135509882e-68,3.18696573996075e-65
RPS4X,16.82264,0.28327772,1.6656766369207895e-63,7.517153644136038e-61
HLA-DRB1,16.097073,0.6677423,2.6745915007163057e-58,1.076152503107491e-55
XIST,14.144743,10.479138,2.0125016451304262e-45,5.334087693712359e-43
NPC2,14.099328,1.6705661,3.8340206104140135e-45,1.0081964748455621e-42
GDF15,13.913241,2.928685,5.263902537600382e-44,1.3118902175052415e-41
HLA-DRA,13.907899,0.49087209,5.672144699673323e-44,1.4031625510391876e-41
DDX3X,13.243674,0.4915734,4.908757111961574e-40,1.1151894728644132e-37
MT-ATP8,12.0211735,0.2921957,2.7503808702254098e-33,4.547114828814246e-31
CXCR4,11.974354,0.25240418,4.841942367478385e-33,7.886536804609089e-31
RPS27A,11.925126,0.09283434,8.755122385107213e-33,1.4057022460242331e-30
PIGR,11.841872,3.8052065,2.3710056674692087e-32,3.7174697310235535e-30
SCGB3A2,11.652669,1.7442249,2.223830990650322e-31,3.300758211722585e-29
RPS29,10.472371,0.0747959,1.15708359409337e-25,1.3054717469034523e-23
IL1B,10.443811,1.5030448,1.5640178556309521e-25,1.7567825681214943e-23
EEF1A1,10.098238,0.020713689,5.62435729316434e-24,5.7972542025468e-22
RNASE1,9.743417,1.7487664,1.9682352353311642e-22,1.805801756019768e-20
CXCL17,9.654101,2.3197315,4.722799693551359e-22,4.23985533779143e-20
SCGB3A1,9.07431,2.9051828,1.1439975222935618e-19,8.663251985150973e-18
CLDN4,8.478217,1.6516438,2.2867172233685972e-17,1.4247613505898818e-15
SLC34A2,8.474546,2.432972,2.3599646601265672e-17,1.4649327098436216e-15
DDX5,8.353278,0.14050788,6.639393707740445e-17,3.987935112656473e-15
