names,scores,logfoldchanges,pvals,pvals_adj
SRSF9,-2.0591252,-0.35543445,0.03948224024759159,0.38788225182427843
SLC35E3,-2.0595412,-0.24002782,0.0394424251910878,0.3876454478168241
NACC1,-2.0597575,-0.36000952,0.03942173483553686,0.3875561544208387
UBE2D3P1,-2.0598407,-0.12529385,0.039413779460304145,0.3875561544208387
TXNL1,-2.060057,-0.10898218,0.0393931018629185,0.3875561544208387
VRK3,-2.0602233,-0.17332035,0.039377202286433204,0.3875561544208387
RASA3,-2.061238,-0.15529497,0.03928033280604306,0.3867352577802518
VPS36,-2.061704,-0.113675736,0.03923593592676007,0.3864120661191623
RABGGTA,-2.062386,-0.1669531,0.039171003092302134,0.38588637736593573
GCH1,-2.062386,-0.125395,0.039171003092302134,0.38588637736593573
CLK3,-2.0625856,-0.2808038,0.039152015632126606,0.38588637736593573
GDI1,-2.0638332,-0.13729842,0.039033521007216146,0.38487259154325076
AL627309.7,-2.0647316,-0.9982875,0.03894839360820908,0.3843689162618671
EMC7,-2.065946,-0.12086293,0.03883356471274787,0.3833537473091717
CYB561A3,-2.0666616,-0.5659309,0.03876606047511023,0.38280051910904234
CACTIN,-2.0680923,-0.5894078,0.03863135106239057,0.3816960355265076
TMED4,-2.0689075,-0.11674392,0.03855477606787824,0.38105217566228516
NUBP1,-2.0690072,-1.2237351,0.038545408408899806,0.38105217566228516
PHKG2,-2.0706708,-0.19611976,0.038389565317193806,0.37986901432089015
OPN3,-2.0708704,-0.37817782,0.038370900188545845,0.37979685319996354
TTL,-2.071353,-0.157325,0.038325824640439085,0.37957569385886825
MAF1,-2.072767,-0.037438806,0.03819396590327164,0.37838198911470183
DHX29,-2.0728836,-0.12541632,0.0381831241598162,0.37838198911470183
TACC1,-2.0754955,-0.13072929,0.0379406459667932,0.37631892269290934
SRM,-2.075878,-0.2606128,0.03790523390340781,0.3760793795122422
IFIH1,-2.0761108,-0.19745463,0.03788369250153656,0.3760793795122422
PAXX,-2.0787394,-0.43104175,0.03764130342059945,0.3737939247797619
MMP24OS,-2.079172,-0.23978812,0.03760154331529393,0.37351015483568
CCDC186,-2.079255,-0.37108335,0.037593901239543384,0.37351015483568
TWISTNB,-2.0794048,-0.26028496,0.03758014883357075,0.37351015483568
DLAT,-2.0805361,-0.2777064,0.03747638006138347,0.3727103003364986
NFKB2,-2.081368,-0.13853835,0.03740023515115553,0.37206382279058386
NBPF19,-2.0837305,-0.7760875,0.03718470124434786,0.3702505315313778
MPC1,-2.0852277,-0.18615966,0.037048643471266074,0.36911590016897433
FECH,-2.0860095,-0.24318115,0.0369777597215134,0.36862963094318246
SMARCB1,-2.0867414,-0.45991093,0.03691150516565579,0.36818895654487477
RBM25,-2.0867748,-0.15541185,0.03690849599861865,0.36818895654487477
ZC3H3,-2.0871074,-0.40760604,0.036878415817364354,0.368078773053407
JAKMIP2,-2.0881555,-1.0989738,0.03678379968068203,0.3672441776191501
CLMN,-2.0881722,-0.4137863,0.036782299505870086,0.3672441776191501
TMCC1,-2.088971,-0.14374004,0.03671035237569377,0.36683989465549643
CCDC28A,-2.0891705,-0.24909809,0.03669238433624595,0.36677008898331925
TMED5,-2.091017,-0.12088022,0.03652653484494993,0.36554994236797955
MANF,-2.091017,-0.16942751,0.03652653484494993,0.36554994236797955
TRIP11,-2.091932,-0.20552032,0.036444594102029354,0.3651676161510268
SESTD1,-2.0946271,-0.21893483,0.03620415097770295,0.36286729473330365
SPAST,-2.095459,-0.21515845,0.036130213756454685,0.36234372931248066
APEH,-2.0955422,-0.18915442,0.03612282711914789,0.36234372931248066
PDZD8,-2.0959082,-0.27980125,0.03609034120763415,0.3621613686809345
NAP1L4P3,-2.1000507,-0.3136031,0.03572439271422593,0.3589205231902194
