names,scores,logfoldchanges,pvals,pvals_adj
DOLK,-0.19660255,-0.21450505,0.8441385714251959,1.0
ALG9,-0.19664639,-0.32505706,0.8441042609338469,1.0
MAST3,-0.19692823,-0.29286918,0.8438837005550976,1.0
AL133260.1,-0.1972915,-0.33071646,0.8435994407923474,1.0
SETD9,-0.19752948,-0.3133377,0.843413212680788,1.0
CYHR1,-0.19754827,0.04556142,0.843398510834179,1.0
SWSAP1,-0.19764848,-0.36240453,0.8433201019073365,1.0
BMP1,-0.19773616,-0.3173477,0.8432514953702314,1.0
MFSD12,-0.198018,-0.3133675,0.8430309824169913,1.0
FLJ37453,-0.1980493,-0.24013606,0.8430064817370753,1.0
ZNF222,-0.19814326,-0.37716877,0.8429329806091265,1.0
TANC2,-0.19819963,0.021978851,0.8428888805890457,1.0
SLC16A6,-0.19820589,0.005943804,0.8428839806172244,1.0
SHQ1,-0.19824347,0.16452847,0.8428545809140392,1.0
ZNF8,-0.19824347,-0.28063464,0.8428545809140392,1.0
ARMT1,-0.19846894,0.07414042,0.8426781872956562,1.0
ZNF707,-0.19854409,-0.3369913,0.8426193911764772,1.0
ZCWPW1,-0.19860046,-0.52037543,0.8425752946628297,1.0
TUBE1,-0.19908898,-0.14417312,0.8421931455702362,1.0
SORD,-0.19919544,-0.15486461,0.8421098615951799,1.0
PLEKHO2,-0.19926433,0.060470577,0.8420559729054261,1.0
HILPDA,-0.1992706,-0.26086944,0.8420510739703098,1.0
ACO2,-0.19940838,-0.45835388,0.8419432989449311,1.0
CROT,-0.19950233,0.07630764,0.8418698176707367,1.0
TMEM216,-0.19954617,0.11559447,0.8418355268807152,1.0
ALKBH8,-0.19962133,-0.001042434,0.8417767433672116,1.0
ZNF682,-0.19998458,-0.4201587,0.841492635490174,1.0
STK3,-0.200185,0.049500387,0.8413358951488452,1.0
FOSL1,-0.20021632,-0.48774636,0.8413114050383996,1.0
AC013264.1,-0.20024763,-0.1781987,0.8412869150815017,1.0
PGAP3,-0.20034784,0.053601626,0.841208548251536,1.0
SLC39A10,-0.20038542,0.10087087,0.8411791610958794,1.0
AC093162.1,-0.20046058,-0.3171471,0.8411203874484693,1.0
MRPS36P1,-0.20046684,-0.41723037,0.8411154896844831,1.0
TAF1A,-0.20057957,-0.45416346,0.8410273309844378,1.0
ADAMTSL5,-0.20077999,-0.49591938,0.8408706093293457,1.0
CD200R1,-0.20079252,0.027768765,0.8408608144352286,1.0
SUCLG2P2,-0.20103051,-0.38756683,0.8406747161294239,1.0
MPND,-0.20111193,-0.6020049,0.8406110529630203,1.0
CLNK,-0.20123093,-0.4144946,0.8405180086720032,1.0
AC245100.8,-0.20124346,-0.4592432,0.8405082146656919,1.0
ME3,-0.2014877,-0.62255496,0.8403172364790629,1.0
ZC3H10,-0.20151903,-0.5136977,0.8402927527756577,1.0
COLGALT2,-0.2017758,0.0361356,0.8400919922377932,1.0
ZBTB22,-0.20180087,0.023664882,0.8400724064005528,1.0
NINL,-0.20185722,-0.6557593,0.8400283386288092,1.0
DOCK11P1,-0.2018948,-0.48888445,0.8399989603928641,1.0
AC021016.1,-0.20193239,-0.48667604,0.839969582379806,1.0
MDC1,-0.2021516,0.15615246,0.839798215081296,1.0
NUDT18,-0.2021516,-0.25596973,0.839798215081296,1.0
HIST2H2BF,-0.2021829,-0.54988056,0.8397737346583531,1.0
ROCK1P1,-0.20233323,-0.46595442,0.8396562307861546,1.0
