names,scores,logfoldchanges,pvals,pvals_adj
NR4A3,5.7996235,1.5064899,6.6464024522985774e-09,1.8810445448895196e-06
PTP4A1,5.7592955,1.8128663,8.44657543595715e-09,2.3704355736069325e-06
ADAM8,5.7542696,1.4813074,8.701710781026467e-09,2.4216861103596657e-06
RPL15,5.737967,1.8907506,9.581979058997009e-09,2.6016241679208463e-06
GNAS,5.71909,1.5026504,1.0709601454277954e-08,2.884337501347311e-06
IL1B,5.7146773,1.4460027,1.0991240524471096e-08,2.9365077484418936e-06
ACTG1,5.6618466,1.0566567,1.4975278537216756e-08,3.937908677392841e-06
ALPL,5.660008,2.4894948,1.513661109188104e-08,3.949236437691087e-06
RPL32,5.654492,1.5476125,1.5630803677087724e-08,4.046560617054431e-06
RPL38,5.5711393,1.477856,2.530789489181571e-08,6.402897407629376e-06
NPC2,5.562191,1.4068607,2.6640831989124927e-08,6.689452820367038e-06
PIGR,5.5588813,5.175854,2.715089268514461e-08,6.766650836664846e-06
THBD,5.5476046,2.8186445,2.896102321170142e-08,7.1643135642813384e-06
LITAF,5.521618,0.79827845,3.3589210236035635e-08,8.248126948842986e-06
IRF2BP2,5.5072765,1.7314723,3.6442771405249236e-08,8.883524042698565e-06
PDE4B,5.44182,1.1667993,5.273890024839412e-08,1.2762813860111376e-05
IFI6,5.437775,1.1361532,5.395000599525149e-08,1.2961974102283588e-05
OLR1,5.38188,1.8412406,7.37119560615529e-08,1.7583460604511578e-05
BTG1,5.379551,1.1009393,7.467188334348616e-08,1.7686115008078466e-05
APOBEC3A,5.3751383,2.475934,7.652400271765144e-08,1.7997152075765406e-05
PPDPF,5.3669252,2.021532,8.009014954445286e-08,1.8704130308996838e-05
JUN,5.3332167,1.2207979,9.6488067030505e-08,2.2222865424487896e-05
RAC2,5.3297844,1.0437857,9.832937225710465e-08,2.2491833670536076e-05
APLP2,5.3098044,1.468432,1.0974295032158299e-07,2.4931806591425753e-05
ATP2B1,5.294237,1.5623301,1.1951430216221565e-07,2.696824077709023e-05
ARHGAP9,5.265799,1.4823529,1.395808314813055e-07,3.095298013599535e-05
GMFG,5.265309,1.297097,1.3995388670904593e-07,3.095298013599535e-05
MX2,5.265309,1.2746965,1.3995388670904593e-07,3.095298013599535e-05
SAMSN1,5.2389545,1.5313362,1.6148866277745855e-07,3.548075909286846e-05
IQGAP1,5.2349095,1.1672634,1.6506558313477038e-07,3.602960924424047e-05
CHD1,5.2219167,1.3414048,1.770808580074271e-07,3.8153498929135716e-05
ACTB,5.2170134,0.5826612,1.8183114342801795e-07,3.8857418351162005e-05
MYL12A,5.2161555,1.4199704,1.826750114125175e-07,3.8857418351162005e-05
LRRFIP1,5.2139487,1.3749977,1.848623786986814e-07,3.9073822778614964e-05
RPL27A,5.187595,1.2693354,2.1302747859194702e-07,4.446416046910414e-05
RPS13,5.1796274,1.3793895,2.223296690722441e-07,4.595346363796892e-05
RPL26,5.1791368,2.292628,2.2291475354386647e-07,4.595346363796892e-05
GNAI3,5.1229963,1.5240972,3.0071783660122885e-07,6.123641994594291e-05
SLA,5.0975003,1.2806811,3.441675471945783e-07,6.965951155218264e-05
PTEN,5.090023,1.9410934,3.580195930208878e-07,7.202664053328656e-05
RPS16,5.070043,1.3456335,3.9772550235828667e-07,7.953557411231941e-05
CDC42,5.0624433,1.0675749,4.139170491986338e-07,8.228079627998556e-05
ADM,5.060972,1.4986612,4.171235215807117e-07,8.24275569627778e-05
SF1,5.056437,1.2278532,4.27161723789233e-07,8.391466428038368e-05
CCL18,5.0420957,2.6410844,4.604613010635194e-07,8.963387478068513e-05
RPS17,5.041605,2.1177008,4.61642905206547e-07,8.963387478068513e-05
FAM129A,5.02898,1.183875,4.930964431047032e-07,9.464051042485442e-05
RGCC,5.0168447,2.352507,5.252701991958937e-07,0.00010023956327054895
RNASET2,4.9914713,1.3191261,5.992115103965398e-07,0.00011370038409774342
SFTPA1,4.9800715,3.1498625,6.356081752575634e-07,0.0001199252577452067
STK17B,4.956291,1.5900578,7.185142895227561e-07,0.0001348061978252919
SLC2A3,4.900028,1.1186417,9.582279637553972e-07,0.000178776430600979
MIDN,4.878332,1.5794927,1.069866104857417e-06,0.0001973991626398801
DUSP1,4.8614163,0.59475493,1.1654870746111635e-06,0.0002138604744160133
ANXA11,4.791057,1.5579054,1.65904837791571e-06,0.00030111728059170135
KLF6,4.785296,1.1373016,1.7073548843577122e-06,0.00030820985793519006
XPO6,4.773406,1.3142123,1.8113607606431164e-06,0.00032522690302385764
EIF4G2,4.737736,1.5664006,2.16119059651235e-06,0.000385963214765382
RPL39,4.6798797,1.351141,2.870435110406093e-06,0.0005072013277625497
CST3,4.660635,1.8135468,3.152354620442769e-06,0.000548966194281345
HLA-DRB6,4.66039,3.957169,3.1561117888974205e-06,0.000548966194281345
ANXA1,4.611236,2.1404986,4.0028131017702155e-06,0.0006926318463560525
RNF130,4.5818176,1.4065357,4.609516773880699e-06,0.0007894329342590761
TAGLN2,4.5699277,0.88280594,4.878925309310728e-06,0.0008313091307639852
UBA52,4.5580378,1.1547905,5.163377373341496e-06,0.0008708896503035991
HSPA6,4.548109,1.8836198,5.413011881719103e-06,0.000908406757798448
CHCHD2,4.5432057,1.5390937,5.540510381875777e-06,0.0009251544235656172
OAZ1,4.513052,1.0566548,6.390140381166862e-06,0.0010564610305418244
PPIA,4.503246,1.8888408,6.692345979854458e-06,0.0011009733317399976
SORL1,4.4745626,1.0160259,7.656791658735214e-06,0.0012473473865127864
NCF2,4.47064,0.9712703,7.798585313566314e-06,0.0012642793938439836
MYD88,4.4446535,1.7180471,8.803356727308185e-06,0.0014202748853390538
PTGS2,4.4420795,0.9977356,8.909361082096044e-06,0.0014304664552773053
GCA,4.4388924,1.0220604,9.042295018997663e-06,0.001444863561982995
CXCR1,4.432151,1.1222363,9.329773590589741e-06,0.0014837005658634998
YWHAZ,4.426635,0.90820676,9.571457764074126e-06,0.0015149213435498555
FPR1,4.421977,0.786603,9.7801932561933e-06,0.00154065723577279
TMCC3,4.4182997,2.3370178,9.948048660160764e-06,0.0015597419392240793
RPL10A,4.402119,1.6987464,1.0719856398443873e-05,0.0016728987116001477
DNAJB1,4.3611784,0.9179959,1.2936376830972514e-05,0.0020034722959851314
LRP10,4.3608108,1.2987937,1.2958139176332148e-05,0.0020034722959851314
SLC34A2,4.3590946,5.080486,1.3060159450263845e-05,0.0020099404838756284
IL1RN,4.352108,1.0345565,1.3483493966123575e-05,0.002065572314186527
MT-TL1,4.3409534,2.3306417,1.4186590665084776e-05,0.0021633579079962154
GNAQ,4.3018513,2.8323154,1.6937713351464515e-05,0.0025711448867523135
TALDO1,4.2768455,1.0912634,1.8956042301724003e-05,0.0028645067362369904
OXSR1,4.2743936,1.6133038,1.9165805932273094e-05,0.0028831588059197847
ZYX,4.2573557,1.01087,2.068592608818817e-05,0.0030978797652068705
TPM3,4.234066,0.90008855,2.295037163863333e-05,0.003421654514481244
AC245128.3,4.2317367,0.87354374,2.31893616751129e-05,0.0034419196555647577
CKAP4,4.2210727,2.3189912,2.43142571923832e-05,0.003592915633614289
RPL5,4.207099,1.8198045,2.5867005121108217e-05,0.0038055264450419825
CTSH,4.2029314,2.7853866,2.6348070393449685e-05,0.003859298942366867
GRN,4.167506,1.1612545,3.079499472264492e-05,0.004490959143045632
TRIB1,4.1607647,0.8706067,3.171839054951942e-05,0.00460551030779022
HLA-DRA,4.152429,1.0385073,3.2896435625789156e-05,0.004755884693328375
IQGAP2,4.122153,3.0875769,3.753481925335122e-05,0.0053798833638837645
ERGIC1,4.0922437,1.6135184,4.272190144544524e-05,0.006097182139624313
ELF3,4.0642962,2.6941102,4.817760542940773e-05,0.006846550259236172
ACTN1,4.0509353,1.2017363,5.10133107326138e-05,0.007218815784857503
ZFP36L1,4.0319357,0.8531694,5.531929469665828e-05,0.007795118842572151
GLUL,4.026052,0.7965025,5.672112319078384e-05,0.007959069874283265
RPL14,3.949809,1.5986394,7.821357417718414e-05,0.010883418846755174
MYADM,3.9320352,0.9341422,8.42296904703016e-05,0.011671928393967603
EVI2B,3.9172034,0.88876086,8.958214146637958e-05,0.01231146171362639
NAPSA,3.914997,3.2859182,9.040530921560951e-05,0.012373670928543013
PTP4A2,3.880798,0.969432,0.00010411429409231575,0.014191840675538681
CD93,3.8680499,2.0834165,0.0001097091965235909,0.014893692386592853
PABPC1,3.8660886,0.8685469,0.00011059472473400477,0.014953123187112645
