Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
X_pca,0.50977266,0.007579637645585211,-0.0051749444451063276,0.51468366,0.9958011,0.7344394,0.0043212622,0.0026468740325836185,0.7426801276252066,0.0,0.29681753036314373,0.40453243255615234,0.3614464716789489
X_pca_harmony,0.51175183,0.0017503025991851026,-0.003236472489705596,0.50180846,0.36732578,0.8046989,0.21173352,0.0618771417947179,0.4659112257001823,0.5494220508894881,0.41872856458050317,0.27587997913360596,0.33301941331236484
X_scVI,0.49093992,0.0014556067627361491,-0.002641670461390112,0.50263363,0.35140753,0.9400286,0.267492,0.025726547685357336,0.914531946332404,0.793725918787062,0.5883010033876859,0.26875901222229004,0.3965758086884484
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
