gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MMP7,23.853325254614525,3.852856247316566,0.4983167240660428,7.7317418044471244,1.0608494026732388e-14,1.2837338621748863e-10
CNN3,29.304933306644315,2.578139763645019,0.49939982345497885,5.162476321695055,2.437042096326561e-07,0.001474532320382386
XIST,83.85500763707293,9.271688211223822,1.8266374123951767,5.0758230113475715,3.8582230675280063e-07,0.0015562785780052135
GZMB,163.73651623382796,-2.5499160087052304,0.5290306827660074,-4.819977539626127,1.4357438465054607e-06,0.004343484071640645
SELENBP1,44.387702768104624,3.101883372181434,0.6642734984477228,4.669587721668754,3.0180480638875407e-06,0.005976088473457817
HPGDS,8.707334936578468,3.8059183067808466,0.8107744007809665,4.694176707003639,2.676825748162481e-06,0.005976088473457817
IRX3,15.498361152174349,2.996292180803191,0.6476045545974413,4.626731173417584,3.714821836909076e-06,0.005976088473457817
ADGRF5,21.668390602640418,4.127339239318922,0.8945341859410462,4.613953613161222,3.950806362090946e-06,0.005976088473457817
NPC2,279.89964311732535,2.1760738212931776,0.4806094184637881,4.527738612049559,5.961826344959981e-06,0.008016006733373415
ATP9A,12.850303902806328,2.3730758386207857,0.543199092015354,4.368703618071786,1.2498625170441097e-05,0.015124586318750771
PIGR,109.10223597832808,4.946910200047508,1.143007546432712,4.327976849747535,1.504852823047454e-05,0.016554749101542945
ARSD,17.459849991500015,2.8007559831099744,0.6587281421798988,4.251763062439629,2.120941858786009e-05,0.021387931194307912
PPP1R2P9,24.209168059797364,8.139788905234324,1.9430526103467027,4.189175764922766,2.799694931703794e-05,0.02270115992219964
CLDN1,16.31736836717478,3.25381410474796,0.7756754782382467,4.194813676639858,2.7309598358107327e-05,0.02270115992219964
APP,117.40838949221185,1.354780541534378,0.32348934631257487,4.1880221311069326,2.8139608200396217e-05,0.02270115992219964
TACSTD2,77.59855105272834,2.0572509346738266,0.501626559428139,4.1011603074189695,4.110836387895158e-05,0.03109076945619957
MELK,13.029178533134917,-2.490891629655703,0.612121992262638,-4.069273218641288,4.716001817250793e-05,0.03151053335490276
ADAMTS1,8.476363481398593,3.8997352561343535,0.9609775180088677,4.058092081295046,4.947526103158023e-05,0.03151053335490276
SHCBP1,11.690591543036264,-2.3942050518285365,0.5879482982376795,-4.072135354426477,4.658409403290798e-05,0.03151053335490276
ENAH,14.735453674753858,3.0818355230389125,0.7635006454417386,4.0364543781830795,5.426507201789464e-05,0.03283308182442715
STXBP4,13.07116374769285,2.254123852297766,0.5635018269274863,4.000206822023021,6.328714848279147e-05,0.03457075729739784
AURKB,19.39870488017479,-2.2941357471925325,0.57478174714207,-3.991316284136431,6.570757936039587e-05,0.03457075729739784
GINS2,9.21201092084757,-2.6497024668691695,0.6631324220180189,-3.9957365661683344,6.449341879667612e-05,0.03457075729739784
NFIX,23.67846709208132,2.3473152769028944,0.5959877473539255,3.9385294199831065,8.198254302803995e-05,0.041336281382596304
C1orf116,11.389535999003481,2.946139927426704,0.7608482640327054,3.872178023790645,0.00010786711824626974,0.048535434568800745
