gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAAS,0.6481566145481047,-1.5132517970832962,1.3523321446491658,-1.1189941783687154,0.26314262264143495,0.9999150196613263
AACS,0.34796475286937845,-0.47674813420898193,1.8203277318154876,-0.2619023628967634,0.7933967178618858,0.9999150196613263
AAED1,0.9078432218479863,-0.18644938415724627,1.2048495355037678,-0.15474910240911421,0.8770191180994251,0.9999150196613263
AAGAB,0.29574807987974183,0.047570345943905246,1.9093042622783343,0.02491501584306972,0.9801227500416317,0.9999150196613263
AAMP,1.6085359558897163,0.10145702611611383,1.1613258592363227,0.08736309908988941,0.9303828998554546,0.9999150196613263
AARS,1.3510930702428683,-0.5685061696667318,1.3284195029884647,-0.4279568076106968,0.6686825669674918,0.9999150196613263
AASDH,1.2832769957138688,1.4285885123029745,1.6862214325375777,0.8472128777020145,0.39687647692582984,0.9999150196613263
AASDHPPT,1.5520860799226455,0.24886500577326737,0.9383693494574993,0.26521007524078233,0.7908476338119237,0.9999150196613263
AATF,0.9778881636204938,1.014756526242154,1.361361685295592,0.7453981827186654,0.456031042160021,0.9999150196613263
ABCA1,0.5967855253580772,0.19613441325793693,1.5436454222740896,0.12705923940032343,0.8988935121686167,0.9999150196613263
ABCA2,1.04228724504293,-1.9205364649628949,1.7497818849058995,-1.0975862086183263,0.2723852177414584,0.9999150196613263
ABCA7,1.9782234829042262,-0.12431103064757379,1.3075278890557145,-0.09507333012785689,0.9242565815746941,0.9999150196613263
ABCB7,0.9749811792467297,-1.7833287484735898,1.5810708434358787,-1.1279246315099818,0.2593517503883501,0.9999150196613263
ABCC1,0.6297260714244186,0.40387967145623443,1.256294644767326,0.32148483091801733,0.7478430058465844,0.9999150196613263
ABCD1,1.157874317015135,-1.057863666119706,1.217153601677393,-0.8691291425025035,0.3847764984024369,0.9999150196613263
ABCD4,0.7987609004297976,0.3776710461875566,1.2817869289583348,0.29464417030253004,0.7682657162254102,0.9999150196613263
ABCE1,3.0563625027470485,-0.6367367491210623,0.8036417467306541,-0.7923141769468938,0.428177507352539,0.9999150196613263
ABCF1,3.011637945594584,-0.48214554400969856,0.8900015722513126,-0.5417356092867143,0.5880006551084818,0.9999150196613263
ABCG1,2.4365859936126926,0.13443468877242562,0.8568367896349599,0.1568964946401276,0.8753264225164278,0.9999150196613263
ABHD12,0.5401942350993023,-0.5492298870587035,1.64209091701034,-0.33446984047549244,0.7380250455425705,0.9999150196613263
ABHD14B,1.0936428218316079,0.25248781441237805,1.4002662661086156,0.18031414490477565,0.8569059516441481,0.9999150196613263
ABHD15,3.9144064919085744,-0.9235045648163199,0.7532771457279596,-1.225982455532823,0.22020527734416306,0.9999150196613263
ABHD2,2.1996790985581027,-0.710315439058812,0.9029503625549102,-0.7866605613280501,0.43148059692865415,0.9999150196613263
ABHD3,0.4259516465076088,-0.558490805724702,1.396021628010961,-0.40005884903118205,0.6891131726075909,0.9999150196613263
ABHD6,1.0578984994192975,-0.560816727786977,1.7263529206613297,-0.3248563611038118,0.7452897858444797,0.9999150196613263
ABI1,1.9120026529387735,0.8601003432879621,1.257773884001952,0.6838274782358474,0.4940841129608994,0.9999150196613263
ABI2,1.3306162363058407,0.6833149718165138,1.496359104422556,0.4566517287173553,0.6479213918713342,0.9999150196613263
ABL1,0.7526120585044812,-0.6472260523197143,1.621710970649337,-0.3991007423847934,0.6898189752833455,0.9999150196613263
ABRACL,2.8111997521882097,-0.36577804282183074,0.7251129685884561,-0.5044428367263573,0.6139502223005076,0.9999150196613263
ABRAXAS2,0.42423058976011774,-0.27766880950419653,1.456517044154494,-0.19063890163083047,0.8488085100026594,0.9999150196613263
ABT1,0.5835516168666335,-1.7176370291115857,1.6186430996856855,-1.061158589836835,0.2886178349642381,0.9999150196613263
AC004453.1,5.079335425736617,-0.17921687305296372,1.1018461541451907,-0.16265144855181682,0.8707928762416318,0.9999150196613263
AC004687.1,1.1250694422261254,-1.7279033707536842,1.1176688412090487,-1.5459886748605325,0.12210730296602573,0.9999150196613263
AC004846.1,1.1956181825473102,-1.2365833881625001,1.2614414567638403,-0.980293918145744,0.326941055974749,0.9999150196613263
AC005332.7,1.1148236382684078,0.20032324526171263,1.246369310597692,0.16072543150605043,0.8723096583923021,0.9999150196613263
AC005912.1,14.278815310130161,0.11792086620288497,0.6423244281623782,0.18358458908412373,0.8543393537618617,0.9999150196613263
AC006978.1,0.3434854891769604,0.01309539508955214,1.5231942834852266,0.008597324209744614,0.9931404122521749,0.9999150196613263
AC007182.2,4.353372354990983,-0.05043434770647881,0.670495792285595,-0.07521948427827942,0.940040082057747,0.9999150196613263
AC007969.1,0.3797606261317505,-0.6070812918533123,1.568656952564804,-0.38700704501434496,0.6987509924109295,0.9999150196613263
AC008038.1,2.0435984091428536,-1.3306711800392081,0.8474619814376906,-1.5701839246897773,0.11637232828497704,0.9999150196613263
AC009362.1,1.6334615669932189,1.277706399628688,1.145794111359257,1.115127392401191,0.26479583464637313,0.9999150196613263
AC010343.1,2.9205448743142264,0.1853590556276677,1.127770038632418,0.1643589111947343,0.8694486077520356,0.9999150196613263
AC011495.1,2.2190734390335014,-1.2256198135880445,1.4352332596835025,-0.8539516523316343,0.3931317783295999,0.9999150196613263
AC012354.2,1.853742450463165,0.24278670642183,1.0676444420917075,0.2274040840283561,0.8201095448773825,0.9999150196613263
AC016712.1,2.3095980111939998,-0.32937428077715425,1.0465166802041064,-0.3147339043969324,0.7529636995228102,0.9999150196613263
AC016739.1,5.947482242814029,-0.6816515238876409,0.9179971416059018,-0.7425420984374649,0.45775895506141306,0.9999150196613263
AC021078.1,0.4258697365335439,0.24108945907888757,1.376300052084723,0.17517216446639097,0.8609443556688461,0.9999150196613263
AC022400.7,1.1160857298255904,-1.3046962981158967,1.2040323636672403,-1.0836056716466114,0.2785396750413278,0.9999150196613263
AC023512.1,0.44475573019217307,2.0888783366829893,2.3357272901154826,0.8943160211908606,0.37115283031877955,0.9999150196613263
AC023590.1,0.8868309406691094,-0.36845806177719737,1.4654713062112874,-0.25142632285976274,0.8014845184955086,0.9999150196613263
AC024293.1,16.4300072398219,-0.18150083200243636,0.5209193366162467,-0.3484240634671338,0.72752173333987,0.9999150196613263
AC025458.1,0.34231266770219293,0.6400823271166908,1.8817595522534154,0.34015096474477274,0.7337428431729398,0.9999150196613263
AC026271.1,0.5146149423764235,0.23298599381076848,1.8612794918756688,0.125175179132276,0.9003848668538501,0.9999150196613263
AC026403.1,2.723247574488441,-0.2674766362418129,0.8352648574754176,-0.32022972575460584,0.7487941908083935,0.9999150196613263
AC026462.1,0.52220174866603,-0.5425956422440409,1.3919622971964156,-0.3898062780413634,0.6966798010808652,0.9999150196613263
AC027309.2,1.275555092530617,-0.9476284118281869,1.270637995915558,-0.7457894497680068,0.4557946141196453,0.9999150196613263
