gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PIGR,8.671878042943442,4.375370085797112,1.0113953063054666,4.326073157072416,1.517910282965841e-05,0.1278839413398721
MGP,3.62108134957739,3.5209689132921924,0.9577922118400466,3.6761302396977538,0.00023679866396601615,0.8746986444101391
FGG,3.825381766761687,-5.516372186356506,1.5299573166957816,-3.6055726039927087,0.0003114653926682988,0.8746986444101391
PSME4,4.594391336304884,-0.615328312242993,0.9109174668971154,-0.6755039118296894,0.49935566689477695,0.9997547204395056
PSMD5,0.5591431802456223,0.7387224551745653,1.4891813862150822,0.4960594203048088,0.6198524884774232,0.9997547204395056
PSMD6,1.6532853401978564,0.16812306607368074,1.2143163400806047,0.1384507978065427,0.8898841526938496,0.9997547204395056
PSMD7,0.3218221522044245,0.856291168447507,2.0143145354453056,0.4251030081844721,0.6707615850926393,0.9997547204395056
PSMD8,2.5157943678692067,0.1389600450524809,0.9997341484134514,0.13899699762482498,0.8894525215665008,0.9997547204395056
PSMC4,3.19070536425939,0.6806665402590972,0.6739311058619453,1.0099942476887716,0.3124980459954535,0.9997547204395056
PSMC5,1.2847458799915072,0.270477083151419,0.9054524529182837,0.2987203605000663,0.7651534205606856,0.9997547204395056
PSMC6,1.4352508850891277,0.847016816422307,1.1393158276445725,0.7434433858199214,0.45721328544690787,0.9997547204395056
PSME3,7.88176580221011,0.44869705883628,0.5996185967481142,0.7483041074270869,0.4542767475734927,0.9997547204395056
PSMD4,9.331518593175511,-0.325917843915679,0.6748464821122886,-0.4829510896990186,0.6291304648363083,0.9997547204395056
PSMF1,6.157070416751716,-0.49007362946222804,0.6667015359002392,-0.735071997097603,0.46229564759516506,0.9997547204395056
PSMG1,0.5732000427170217,0.47244326045040747,1.728563711620718,0.27331550308171176,0.7846106991308582,0.9997547204395056
PSMG2,0.7911603018230144,0.6249035018155912,1.4712244438698618,0.4247506248413498,0.6710184748079271,0.9997547204395056
PSMD14,0.6210149012333043,-0.38032211423344464,1.2711902105798247,-0.29918584258131536,0.7647982508394935,0.9997547204395056
PSMD2,1.2428437166913224,-2.6914376208277804,1.354626792629211,-1.9868480643321231,0.046939236429581976,0.9997547204395056
PSMD3,0.34399273519941703,-1.8356549920126286,1.5973092948326422,-1.1492169975790187,0.2504665136756148,0.9997547204395056
PTAFR,21.23448916394457,0.21087644698798014,0.5749877035378645,0.36674948992903694,0.7138058872645158,0.9997547204395056
PTAR1,1.5201925949604582,-0.8422750283116082,1.2843419796864888,-0.6558027703160568,0.5119510337268678,0.9997547204395056
