gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MMP7,26.366102365105327,3.7216223158570667,0.6365169563288495,5.84685494840821,5.009539658576097e-09,6.722301267843265e-05
CXCL17,132.16448791155983,2.432438644086213,0.4883795610236529,4.980631537871436,6.337710735408738e-07,0.002961878599882147
PIGR,160.50812223160176,4.730035518201462,0.9621536590153207,4.916091597097116,8.82891005255875e-07,0.002961878599882147
XIST,151.8653819955997,10.056236166317023,2.036234778510384,4.938642769707382,7.866817265473146e-07,0.002961878599882147
C1orf116,20.88638801785695,4.048243543597162,0.8425919045014555,4.804512744508774,1.5512882033872615e-06,0.00346945606687561
TMPRSS2,34.57831528261958,3.5188124641046374,0.7302246834654432,4.818807887190737,1.4441852961289206e-06,0.00346945606687561
IRX2,10.208358208529091,5.074302486962608,1.0667186139194549,4.756926916572731,1.965622906314328e-06,0.003768099111404567
CLDN1,23.2638260968257,3.2932786565299805,0.7300018454554916,4.511329220647529,6.44226403943611e-06,0.010806092643149145
GPR15,13.151730418681261,-3.110616570835192,0.7062444812169222,-4.404447260919224,1.0605393679369842e-05,0.013636068024695457
ADGRF5,30.161121730096607,3.708321254366896,0.844136610239519,4.393034503401862,1.1177937869561816e-05,0.013636068024695457
ALDH2,121.51088211799328,2.116669389697333,0.4802395716628814,4.40752806431202,1.0455705661051545e-05,0.013636068024695457
PLS3,58.335813223173446,2.583665082406552,0.595611195167273,4.33783834718041,1.4389092099073941e-05,0.015778610212217405
DDAH1,21.00657644862761,3.014147501508216,0.6969889068965842,4.324527222289695,1.528593283842509e-05,0.015778610212217405
CNN3,46.74403590516086,1.9644209168951074,0.4590428699683584,4.279384444050975,1.874109080382584e-05,0.017963335535467067
IL1RL1,15.321052498337856,2.0208860259388985,0.48278982779718865,4.185850466567486,2.841003423213244e-05,0.02541561662406568
ANXA3,19.63829595633738,4.589445208047577,1.10165705118819,4.165947291035481,3.1006234132637676e-05,0.02589988937490251
PLAU,56.38579355806279,1.8917230278390404,0.4572297691189312,4.13735752920099,3.513284563965658e-05,0.02589988937490251
