gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN8,6.347588169435562,4.119227514981484,1.0044451237647798,4.10099807099678,4.113719897774402e-05,0.35543664554634274
NKD1,4.00615778004147,4.077415919631351,1.0091754532902626,4.040343932601173,5.337287267007174e-05,0.35543664554634274
XIST,10.992661271627918,6.907964414857067,1.7844798221429576,3.8711361872175085,0.00010832924562201044,0.4809457408131857
PIGR,10.309767811455208,6.0539716322417885,1.635000836598056,3.702733048649858,0.00021328927986384797,0.5681599837013183
HLA-DPA1,26.702283589339626,2.0109126014228442,0.5416622088300074,3.7124845865958123,0.00020523456298579732,0.5681599837013183
SERPINE2,22.53109982013998,-1.7217423115532746,0.4829750291500425,-3.5648681766907515,0.00036403910851931135,0.6859037517364536
FGG,3.798751349113582,-5.550608784768271,1.5713932588053074,-3.5322849666469014,0.0004119851350620639,0.6859037517364536
FAM129A,12.841559382494403,2.1932321066145852,0.6134021124807887,3.5755209543450595,0.00034953117673439734,0.6859037517364536
SPON2,30.78378579678518,-1.327547780393536,0.38104935376765736,-3.4839260774681717,0.000494115941225394,0.7312366912423359
RBP4,4.3599203184980775,-3.715988017065768,1.083616653142057,-3.429245948085868,0.0006052607779663441,0.8061468301733737
MYH11,33.302838287521084,1.6465364366615765,0.4895952821039988,3.363056174858774,0.0007708467620900756,0.9240829437120743
AXIN2,4.670792838809472,2.8461210608538345,0.8516900254968142,3.3417334659914726,0.0008325696617272236,0.9240829437120743
PTBP2,4.135266895346657,0.6563987280433634,0.794989562454085,0.82566961762001,0.40899153161951307,0.9999476958768292
PSMG3,4.7704186046766734,-0.8741151348376675,0.850251789398396,-1.0280662101942253,0.30391868383227705,0.9999476958768292
PTCH2,2.0085028942231133,-1.334702529567548,1.3397595449096882,-0.9962254306294336,0.31914062587280245,0.9999476958768292
PTPN2,5.53446692459187,0.0636132520435618,0.6560233471695511,0.09696796968892141,0.9227518310325099,0.9999476958768292
PTPN21,7.044535680920443,-0.1672621871935892,0.6791807310290278,-0.24627051321107124,0.8054728341767647,0.9999476958768292
PTPN22,2.2849563668689914,1.4883233677247167,1.14089435676704,1.3045233845683912,0.19205519170991647,0.9999476958768292
PTPN23,6.170215072788193,-0.04877886805057696,0.7228313635972847,-0.06748305414947853,0.9461971521002009,0.9999476958768292
PTPN3,0.32007861390130077,-1.3751419904455415,2.8684698425142554,-0.47939914516940146,0.6316547014982343,0.9999476958768292
PTPN4,2.4146782301267304,0.4520165725040058,0.9869931763814644,0.4579733511038026,0.6469715870125026,0.9999476958768292
PTPN6,1.3613313033349448,0.7597692599710876,1.3765595402747925,0.5519334527436571,0.5809939477810304,0.9999476958768292
PTGER2,3.0398252446834384,0.8052135032606216,0.9844249388088894,0.8179531739970893,0.4133839257748615,0.9999476958768292
PTAR1,8.379748753050393,0.23162259078676856,0.5930175816785761,0.39058300789522166,0.6961054876421138,0.9999476958768292
PTBP1,33.487310848185864,-0.004912583409831554,0.363603112449426,-0.013510839818553125,0.9892202374676197,0.9999476958768292
PSMG2,14.177389938501015,0.20881185638559335,0.4849580341497733,0.43057716685049163,0.6667758464426581,0.9999476958768292
PTBP3,22.81147197087493,0.08863219420065174,0.4336338546014531,0.2043940833035566,0.8380455534338351,0.9999476958768292
PTCD2,2.3142220745281628,-1.240569316636226,1.1651500742402978,-1.0647292087631741,0.286998488259399,0.9999476958768292
PTCD3,7.2818301025476,0.5284288347908667,0.6763598031772585,0.7812836190272199,0.43463570241800276,0.9999476958768292
PTCH1,5.732622027517012,-0.09396746781419522,0.903845017824422,-0.10396413761330159,0.9171978083419379,0.9999476958768292
PTGFRN,17.16715180216529,-0.12444718219343597,0.5127442821006313,-0.24270808381050255,0.8082315447022541,0.9999476958768292
PTDSS1,8.542019813529887,-0.14479757481113803,0.5820652529601623,-0.24876519269060068,0.8035424170334398,0.9999476958768292
PTDSS2,1.2766422011847254,-0.9748564735684643,1.4098129405921909,-0.6914793058708744,0.4892643811124965,0.9999476958768292
PTEN,40.23732938321335,0.28008536775850773,0.343540028913801,0.8152917977100861,0.41490530270053605,0.9999476958768292
PTENP1,9.467712054853946,-0.11812138690093861,0.5617836717160766,-0.21026133874648592,0.8334637079881841,0.9999476958768292
PTER,4.840029929001187,0.19218989611777554,0.8697003847575153,0.22098403023169963,0.8251048676336391,0.9999476958768292
PTGDR,0.1760415132961478,-0.6275045227747417,3.5239588687638173,-0.17806806099154793,0.8586695247680015,0.9999476958768292
PTGDS,17.03553869921347,1.2516067862095737,0.6718663700687625,1.862880539892892,0.062479075287426494,0.9999476958768292
PSMD4,15.417029108908046,-0.3425661207271819,0.4442610760747022,-0.7710919078347966,0.4406524567506851,0.9999476958768292
PTGS1,4.703552422573038,-1.4026561376035662,1.1000443655180674,-1.2750905159565844,0.20227720585267406,0.9999476958768292
PTGS2,15.512463619037696,-0.24943838037580154,0.7283551047783241,-0.3424680883533019,0.7319986554730149,0.9999476958768292
PTH1R,0.7548435965556725,-1.3947886961753881,1.9414953059277837,-0.7184095124602218,0.4725048232515504,0.9999476958768292
PSME2,9.574290407348093,-0.15600556056616913,0.5609212778754188,-0.2781238058165056,0.7809173219915726,0.9999476958768292
PSMD1,11.93499492892963,-0.49392419492162093,0.5491873042361594,-0.8993729299853326,0.3684540530187428,0.9999476958768292
PSMD10,4.467024340674141,-0.057181949585279536,0.7566639748947213,-0.0755711273200704,0.9397603078179775,0.9999476958768292
PSMD11,11.241756100562972,-0.09278237357340004,0.49565521369158483,-0.18719136006331347,0.8515105987778809,0.9999476958768292
PSMD12,10.154950345061089,-0.2329117955482539,0.5202745366962078,-0.4476709489325879,0.6543906908293005,0.9999476958768292
